"","ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"203","MEGI","Sale",14.35,"19,919","285,838","Dec 02 10:50 AM","2025-12-02",10:50:00
"204","KLIC","Proposed Sale",44.95,"198,000","8,900,100","Dec 02 10:50 AM","2025-12-02",10:50:00
"205","SHIP","Proposed Sale",10.57,"30,000","317,100","Dec 02 10:35 AM","2025-12-02",10:35:00
"206","BDC","Proposed Sale",114.13,"1,713","195,505","Dec 02 10:35 AM","2025-12-02",10:35:00
"207","CORT","Proposed Sale",79.78,"20,000","1,595,600","Dec 02 10:34 AM","2025-12-02",10:34:00
"208","PGNY","Proposed Sale",25.5,"213","5,432","Dec 02 10:24 AM","2025-12-02",10:24:00
"209","ECAT","Sale",16.02,"9,389","150,412","Dec 02 10:11 AM","2025-12-02",10:11:00
"210","ECAT","Sale",16.03,"54,394","871,936","Dec 02 10:11 AM","2025-12-02",10:11:00
"211","VCEL","Proposed Sale",39.14,"1,652","64,659","Dec 02 10:10 AM","2025-12-02",10:10:00
"212","AORT","Proposed Sale",46.27,"30,921","1,430,715","Dec 02 10:07 AM","2025-12-02",10:07:00
"213","GFS","Proposed Sale",35.99,"4,000","143,960","Dec 02 10:07 AM","2025-12-02",10:07:00
"214","MKSI","Proposed Sale",158.81,"300","47,643","Dec 02 10:05 AM","2025-12-02",10:05:00
"215","SLB","Sale",35.82,"5,500","197,010","Dec 02 10:04 AM","2025-12-02",10:04:00
"216","TMO","Proposed Sale",581.94,"6,912","4,022,369","Dec 02 10:00 AM","2025-12-02",10:00:00
"217","BXP","Sale",72.18,"36,314","2,621,134","Dec 02 09:58 AM","2025-12-02",09:58:00
"218","CARG","Proposed Sale",35.68,"1,346","48,025","Dec 02 09:57 AM","2025-12-02",09:57:00
"219","SPH","Proposed Sale",19.31,"10,000","193,100","Dec 02 09:54 AM","2025-12-02",09:54:00
"220","CBLL","Proposed Sale",16.67,"827","13,786","Dec 02 09:50 AM","2025-12-02",09:50:00
"221","LSCC","Sale",69.93,"5,708","399,148","Dec 02 09:47 AM","2025-12-02",09:47:00
